,int64_field_0,Agence_Facturation,Region_Facturation,Materiel,Statut,Libelle_Statut_Materiel,Nature_equipement,Modele,Marque,Date_Mise_en_Service,Derniere_Loc,Age_Mois,Age_Reforme_Mois,Tx_Maturite_Materiel,CA,Annee_RefT,Nb_Jours_Fac,Nb_Jours_VLG,Valeur_Locative_Th_TR_IndM,Prix_Reference_Monnaie_locale,Pay_Back_Prix_Reference,Date_Fin_Vie,Cat_Classe_Designation_Num
15687,15687,348,67,147554,U,RETOUR PLANIFIE,EQP,450AJ,JLG,30/01/2019,02/09/2023,113,117,"0,97",409,2020,5,13,0.0,38000,50,,2.0
15688,15688,348,67,147554,U,RETOUR PLANIFIE,EQP,450AJ,JLG,30/01/2019,02/09/2023,113,117,"0,97",105,2021,1,2,0.0,38000,30,,2.0
15689,15689,348,67,147591,O,EN LOCATION,EQP,P38.14,MERLO,09/01/2019,20/01/2023,108,111,"0,97",1047,2021,8,23,0.0,55000,48,,1.0
15690,15690,348,67,151721,R,ZONE RETOUR CTRL OBLIGATOIRES,EQP,160ALUDS,MULTITEL,14/02/2014,14/02/2023,106,103,"1,03",0,2021,0,6,0.0,52500,0,,2.0
15691,15691,348,67,152649,O,EN LOCATION,EQP,MT1335,MANITOU,06/02/2014,31/01/2023,106,111,"0,95",270,2021,2,3,0.0,52000,26,,1.0
15692,15692,348,67,163204,O,EN LOCATION,EQP,520-40,JCB,01/07/2019,31/01/2023,102,116,"0,88",1810,2021,34,68,0.0,34000,37,,1.0
15693,15693,348,67,163205,A,DISPONIBLE,ACC,700L 514/00500,JCB,13/06/2014,29/07/2022,102,83,"1,22",0,2021,32,68,0.0,1500,0,,1.0
15694,15694,348,67,170662,R,ZONE RETOUR CTRL OBLIGATOIRES,EQP,H12SXL,HAULOTTE,29/09/2014,02/09/2023,98,112,"0,88",437,2018,6,9,0.0,36000,31,,2.0
15695,15695,348,67,170662,R,ZONE RETOUR CTRL OBLIGATOIRES,EQP,H12SXL,HAULOTTE,29/09/2014,02/09/2023,98,112,"0,88",1445,2020,25,30,0.0,36000,32,,2.0
15696,15696,348,67,173600,A,DISPONIBLE,EQP,ECR38,VOLVO,31/05/2019,13/10/2022,102,97,"1,05","4212,5",2018,90,94,0.0,30500,49,,3.0
15697,15697,348,67,173600,A,DISPONIBLE,EQP,ECR38,VOLVO,31/05/2019,13/10/2022,102,97,"1,05",0,2020,0,3,0.0,30500,0,,3.0
15698,15698,348,67,180247,O,EN LOCATION,EQP,P40.17,MERLO,23/07/2019,02/03/2023,102,111,"0,91",3274,2019,27,36,0.0,61000,29,,1.0
15699,15699,348,67,180247,O,EN LOCATION,EQP,P40.17,MERLO,23/07/2019,02/03/2023,102,111,"0,91",225,2020,3,46,0.0,61000,530,,1.0
15700,15700,348,67,180320,O,EN LOCATION,EQP,ECR58D,VOLVO,07/01/2015,31/01/2023,101,97,"1,04","12657,95",2018,231,252,79380.0,36500,34,,3.0
15701,15701,348,67,180320,O,EN LOCATION,EQP,ECR58D,VOLVO,07/01/2015,31/01/2023,101,97,"1,04","14262,48",2019,261,251,79065.0,36500,31,,3.0
15702,15702,348,67,180320,O,EN LOCATION,EQP,ECR58D,VOLVO,07/01/2015,31/01/2023,101,97,"1,04","14203,05",2020,246,254,80010.0,36500,32,,3.0
15703,15703,348,67,180320,O,EN LOCATION,EQP,ECR58D,VOLVO,07/01/2015,31/01/2023,101,97,"1,04","13073,94",2021,220,255,80325.0,36500,33,,3.0
15704,15704,348,67,180320,O,EN LOCATION,EQP,ECR58D,VOLVO,07/01/2015,31/01/2023,101,97,"1,04","13073,94",2022,220,254,80010.0,36500,33,,3.0
15705,15705,348,67,181573,S,VENDU,EQP,PIAF810,ATN,13/08/2014,28/09/2020,73,103,"0,7",240,2018,4,5,0.0,17000,28,08/09/2020,2.0
15706,15706,348,67,204130,O,EN LOCATION,EQP,PIAF1000R,ATN,05/05/2015,13/02/2023,91,119,"0,76",0,2021,0,2,0.0,18500,0,,2.0
15707,15707,348,67,207561,A,DISPONIBLE,EQP,ECR25,VOLVO,30/06/2020,15/02/2023,89,97,"0,92",0,2022,0,1,0.0,23700,0,,3.0
15708,15708,348,67,209830,A,DISPONIBLE,ACC,BMICF230+CLBR2,MAGSI,03/07/2015,15/12/2022,89,83,"1,07",0,2021,0,29,0.0,2300,0,,1.0
15709,15709,348,67,212296,O,EN LOCATION,EQP,100VJR,MANITOU,01/01/2022,15/02/2023,84,119,"0,71","458,4",2022,5,7,0.0,18500,61,,2.0
15710,15710,348,67,212640,O,EN LOCATION,EQP,ECR25,VOLVO,30/04/2021,31/01/2023,85,97,"0,87",5360,2021,160,172,31820.0,23700,101,,3.0
15711,15711,348,67,212640,O,EN LOCATION,EQP,ECR25,VOLVO,30/04/2021,31/01/2023,85,97,"0,87",7370,2022,220,254,46990.0,23700,110,,3.0
15712,15712,348,67,213686,A,DISPONIBLE,ACC,2000L,JCB,03/08/2015,12/06/2022,88,83,"1,06",0,2022,24,32,0.0,2300,0,,1.0
