int64_field_0,Agence_Facturation,Region_Facturation,Materiel,Statut,Libelle_Statut_Materiel,Cat_Classe_Designation,Nature_equipement,Modele,Marque,Date_Mise_en_Service,Derniere_Loc,Age_Mois,Age_Reforme_Mois,Tx_Maturite_Materiel,CA,Annee_RefT,Nb_Jours_Fac,Nb_Jours_VLG,Valeur_Locative_Th_TR_IndM,Prix_Reference_Monnaie_locale,Pay_Back_Prix_Reference,Date_Fin_Vie
3974,224,51,108833,N,PANNE COURT TERME,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,E26,BOBCAT,12/03/2013,18/01/2023,117,97,"1,2",0,2022,0,2,0,23700,0,
3975,224,51,110184,S,VENDU,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,E26,BOBCAT,10/04/2013,16/09/2022,113,97,"1,16",0,2020,0,1,0,23700,0,18/07/2022
3976,224,51,110779,J,FERRAILLE,052-0024 - CHARIOT TELESC. =< 6M,EQP,MT625T,MANITOU,22/04/2013,24/01/2022,104,116,"0,9",0,2020,0,2,0,37000,0,27/12/2021
3977,224,51,110846,U,RETOUR PLANIFIE,057-0007 - MINIPELLE 5T À 6T,EQP,ECR48C,VOLVO,20/04/2018,31/01/2023,117,97,"1,2","17654,24",2018,144,252,79380,36500,21,
3978,224,51,110846,U,RETOUR PLANIFIE,057-0007 - MINIPELLE 5T À 6T,EQP,ECR48C,VOLVO,20/04/2018,31/01/2023,117,97,"1,2","15044,12",2019,127,251,79065,36500,24,
3979,224,51,110846,U,RETOUR PLANIFIE,057-0007 - MINIPELLE 5T À 6T,EQP,ECR48C,VOLVO,20/04/2018,31/01/2023,117,97,"1,2","12261,41",2020,112,251,80010,36500,29,
3980,224,51,110846,U,RETOUR PLANIFIE,057-0007 - MINIPELLE 5T À 6T,EQP,ECR48C,VOLVO,20/04/2018,31/01/2023,117,97,"1,2","16413,2",2021,141,251,80325,36500,22,
3981,224,51,110846,U,RETOUR PLANIFIE,057-0007 - MINIPELLE 5T À 6T,EQP,ECR48C,VOLVO,20/04/2018,31/01/2023,117,97,"1,2","13880,44",2022,130,254,80010,36500,26,
3982,224,51,110851,O,EN LOCATION,057-0005 - MINIPELLE 3.5T,EQP,VIO33UCR,YANMAR,16/01/2013,02/08/2023,119,97,"1,22","14599,9",2018,147,252,66780,30500,25,
3983,224,51,110851,O,EN LOCATION,057-0005 - MINIPELLE 3.5T,EQP,VIO33UCR,YANMAR,16/01/2013,02/08/2023,119,97,"1,22","7770,05",2019,78,251,66515,30500,46,
3984,224,51,110851,O,EN LOCATION,057-0005 - MINIPELLE 3.5T,EQP,VIO33UCR,YANMAR,16/01/2013,02/08/2023,119,97,"1,22","7810,58",2020,75,254,67310,30500,46,
3985,224,51,110851,O,EN LOCATION,057-0005 - MINIPELLE 3.5T,EQP,VIO33UCR,YANMAR,16/01/2013,02/08/2023,119,97,"1,22","13073,22",2021,123,255,67575,30500,28,
3986,224,51,110851,O,EN LOCATION,057-0005 - MINIPELLE 3.5T,EQP,VIO33UCR,YANMAR,16/01/2013,02/08/2023,119,97,"1,22","13649,93",2022,137,248,67310,30500,26,
3987,224,51,111835,S,VENDU,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,E25,BOBCAT,27/06/2013,19/12/2022,112,97,"1,16",0,2020,0,1,0,23700,0,24/11/2022
3988,224,51,112370,U,RETOUR PLANIFIE,049-0033 - NACELLE =<12M ELECTRIQUE,EQP,HA12IP,HAULOTTE,31/03/2018,02/03/2023,116,119,"0,98",0,2022,0,3,0,29000,0,
3989,224,51,112398,O,EN LOCATION,057-0007 - MINIPELLE 5T À 6T,EQP,E50,BOBCAT,29/03/2013,02/09/2023,116,97,"1,2","312,09",2021,3,5,0,36500,27,
3990,224,51,113786,R,ZONE RETOUR CTRL OBLIGATOIRES,052-0024 - CHARIOT TELESC. =< 6M,EQP,MT625T,MANITOU,25/02/2013,14/02/2023,117,116,"1,01",1500,2018,44,42,0,37000,75,
3991,224,51,113787,U,RETOUR PLANIFIE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,CBR730,MANITOU,25/02/2013,13/02/2023,117,83,"1,41",0,2018,44,57,0,1500,0,
